date,LAI,TIMESTAMP,SW_IN_F,LW_IN_F,PA_F,TA_F,WS_F,VPD_F,CO2_F_MDS,RN,SW_IN_ERA,LW_IN_ERA,PA_ERA,TA_ERA,WS_ERA,VPD_ERA,P_ERA,SWC_F_MDS_1,H_F_MDS,LE_F_MDS,G_F_MDS,GPP_NT_VUT_USTAR50,LE_CORR,H_CORR,SW_OUT,LW_OUT
2016-01-02,,20160102,42.809,334.292,99.635,9.345,2.624,1.957,384.734,13.290767291666612,42.764,319.71,99.49,9.2,2.725,2.048,5.115,33.274,-10.2336,28.7251,-5.32053,2.13087,25.558,-9.10531,5.901607708333334,357.90862500000003
2016-01-03,,20160103,26.36,324.1,98.833,6.496,1.089,1.247,396.122,2.4086251250000146,34.664,327.668,98.725,7.455,1.832,1.892,6.038,33.282,-5.17429,10.5916,-10.6651,1.61399,9.4238,-4.57463,1.6426040416666667,346.40877083333334
2016-01-04,,20160104,17.975,346.033,98.067,9.919,2.55,1.95,386.928,1.4220394375000183,37.011,337.866,97.957,9.942,2.734,1.461,8.524,33.28,-19.9095,23.7352,-1.05228,1.72117,21.1183,-17.7144,2.5279605625,360.058
2016-01-05,,20160105,40.726,314.404,98.196,7.685,3.46,2.293,384.167,1.52000104166666,72.372,299.233,98.066,7.962,3.495,2.428,1.043,33.572,-20.0959,40.3594,-13.6877,3.06206,35.9096,-17.8802,4.504769791666667,349.1052291666667
2016-01-06,,20160106,29.255,325.427,98.544,6.62,3.197,1.446,390.583,4.468369374999952,36.172,315.386,98.42,7.162,3.804,1.693,6.436,33.428,-11.7879,22.3658,-10.8212,2.20268,19.8998,-10.4882,5.1199014583333335,345.0937291666667
2016-01-07,,20160107,63.506,346.239,98.433,10.11,1.759,1.57,397.279,34.807035208333275,27.831,355.526,98.318,11.812,2.31,3.144,5.724,33.553,-4.49556,36.9497,11.286,3.68109,32.8757,-3.97456,10.964360625,363.9736041666667
2016-01-08,,20160108,27.753,345.404,98.396,10.164,1.185,0.795,388.278,7.783379791666562,54.653,335.95,98.271,11.036,1.278,1.147,1.182,33.529,-6.39393,16.826,-1.24581,2.54559,17.24,-5.65292,3.2405577083333337,362.1330625000001
2016-01-09,,20160109,63.156,339.901,98.327,10.22,0.78,0.734,404.167,28.456231666666724,55.564,335.338,98.221,11.035,0.912,1.078,6.623,33.316,4.53368,26.5598,4.3997,3.71881,27.2132,4.64521,9.063039166666668,365.5377291666666
2016-01-10,2.066646,20160110,31.914,344.694,98.106,9.525,1.243,1.254,392.87,11.218209562500022,38.452,331.647,97.978,9.549,1.428,1.183,10.172,33.15,-4.13558,20.8678,-2.91299,2.79043,21.9821,-4.35641,4.9148529375,360.4749375
2016-01-11,2.1999779999999998,20160111,88.769,309.87,98.196,10.194,3.159,3.618,384.508,19.954348958333355,79.94,311.57,98.058,10.223,3.287,3.358,7.329,33.063,-23.8045,55.0736,-8.68739,3.56721,68.0386,-25.0756,18.741630208333333,359.9430208333333
